sample_group_2,n,GATA3,IL13,IFNg,IL4,IL10,PD1,Perforin,TNF,Ki67,Sample,sample_group,nil
27231,9,402,5486,3046,302,1101,796,6253,4228,1689,27231 20-Aug-15_BCG_019.fcs,27231 20-Aug-15,No
27231,9,387,6631,3539,298,886,786,5900,3739,2068,"27231 20-Aug-15_E,2f,C_020.fcs",27231 20-Aug-15,No
27231,9,412,2578,3246,443,1983,747,5713,3441,1459,27231 20-Aug-15_Nil_018.fcs,27231 20-Aug-15,Yes
27231,9,460,6926,2793,427,2364,805,5114,2712,1506,27231 20-Aug-15_SEB_021.fcs,27231 20-Aug-15,No
29740,8,767,690,7714,2509,438,658,1295,3240,NA,29740_BCG_019.fcs,29740,No
29740,8,808,653,764,2865,453,660,1244,2519,NA,"29740_E,2f,C_020.fcs",29740,No
29740,8,898,1021,7446,3070,554,669,738,3504,NA,29740_SEB_021.fcs,29740,No
29740,8,837,890,873,3227,443,653,1389,3583,NA,29740_nil_018.fcs,29740,Yes
29740,8,510,3113,1475,1983,377,767,1170,4263,1576,29740 7Dec15_BCG_027.fcs,29740 7Dec15,No
29740,8,457,2476,4032,2337,857,777,1082,3575,1345,"29740 7Dec15_E,2f,C_028.fcs",29740 7Dec15,No
29740,8,521,1754,2854,2691,603,728,1108,4024,1492,29740 7Dec15_SEB_029.fcs,29740 7Dec15,No
29740,8,514,3504,821,2368,381,886,1152,3792,1413,29740 7Dec15_aNil_026.fcs,29740 7Dec15,Yes
